energyConsumption,ms,ECL_median,Location Coverage,duration,interval,psize,active_timer,tau
2.6856599999999986,23420.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6810399999999963,22942.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.68412,23087.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.684599999999996,23245.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6791800000000023,23360.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.687989999999992,23466.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6784800000000004,22975.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.680489999999999,23088.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.696569999999994,23376.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.696680000000008,23337.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.689009999999996,23437.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.672620000000009,22896.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.68268999999998,22998.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6818600000000004,23121.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.683840000000004,23263.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.676550000000006,23392.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6982500000000016,23532.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6816499999999905,23038.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6848299999999905,23183.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.7020399999999967,23506.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6900499999999994,23434.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6789700000000067,22956.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6748099999999937,23101.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6856499999999954,23207.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6958900000000057,23309.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6874300000000058,23409.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.690799999999996,23057.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6821999999999946,23016.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6854999999999905,23118.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.682699999999997,23262.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.701999999999998,23521.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6854000000000013,23464.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6783999999999963,22972.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.680099999999996,23071.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.687000000000012,23178.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6875,23280.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6888999999999896,23408.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6922999999999893,23505.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6908000000000243,23017.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.68210000000002,23118.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.683099999999996,23218.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.711999999999989,23538.25,0.0,1.0,5400,60.0,20,0,1100000.0
4.181200000000018,35480.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.66549999999998,22938.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.658600000000007,23037.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.667700000000025,23142.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.672300000000007,23309.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6740000000000066,23405.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.677599999999984,23547.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.670199999999994,23063.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.67349999999999,23167.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6709999999999923,23279.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6847999999999956,23567.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.669500000000028,23020.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.662300000000016,23116.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.672799999999995,23240.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.672800000000024,23342.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6752999999999934,23437.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.6804999999999954,23104.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.667400000000016,23082.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6728999999999985,23185.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6723000000000354,23293.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.690300000000008,23568.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6774999999999807,23513.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6715000000000093,23021.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.663599999999974,23117.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.67410000000001,23275.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.669699999999977,22926.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6816000000000315,23201.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6717999999999904,23146.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.675000000000012,23263.25,0.0,1.0,5400,60.0,20,0,1100000.0
2.6885000000000048,23472.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6924999999999955,23658.0,0.0,1.0,5400,60.0,20,0,1100000.0
2.6760999999999906,23040.5,0.0,1.0,5400,60.0,20,0,1100000.0
2.753900000000016,23777.75,0.0,1.0,5400,60.0,20,0,1100000.0
2.6644000000000005,23176.25,0.0,1.0,5400,60.0,20,0,1100000.0
4.191700000000027,24244.249,0.0,1.0,3600,60.0,128,101,10010100.0
4.1875,24611.25,0.0,1.0,3600,60.0,128,101,10010100.0
4.193100000000015,24532.001,0.0,1.0,3600,60.0,128,101,10010100.0
4.176899999999988,23990.751,0.0,1.0,3600,60.0,128,101,10010100.0
4.188699999999983,24293.75,0.0,1.0,3600,60.0,128,101,10010100.0
4.168099999999981,24244.75,0.0,1.0,3600,60.0,128,101,10010100.0
