,energyConsumption,ms,tx_power_median,ECL_median,Location Coverage,energyConsumptionTx,msTx,duration,interval,psize,tau,Throughput
1075,4.191700000000027,24244.249,-210.0,0.0,1.0,0.0331000000000472,152.251,3600,60.0,128,10010100.0,6725.735791554735
1076,4.1875,24611.25,-220.0,0.0,1.0,0.03489999999999327,175.99900000000005,3600,60.0,128,10010100.0,5818.214876220887
1077,4.193100000000015,24532.001,-230.0,0.0,1.0,0.06279999999998154,334.25,3600,60.0,128,10010100.0,3063.57516828721
1078,4.176899999999988,23990.751,-230.0,0.0,1.0,0.061099999999953525,334.751,3600,60.0,128,10010100.0,3058.990115040732
1079,4.188699999999983,24293.75,-220.0,0.0,1.0,0.06200000000001182,334.5,3600,60.0,128,10010100.0,3061.285500747384
1080,4.168099999999981,24244.75,-220.0,0.0,1.0,0.044899999999984175,225.25,3600,60.0,128,10010100.0,4546.059933407325
1081,4.197300000000041,24551.499,-220.0,1.0,1.0,0.060899999999946886,334.5,3600,60.0,128,10010100.0,3061.285500747384
1082,4.204099999999983,24501.0,-220.0,1.0,1.0,0.06299999999998818,335.251,3600,60.0,128,10010100.0,3054.427876426916
1083,4.170900000000017,24182.999,-230.0,0.0,1.0,0.03570000000001984,177.24900000000005,3600,60.0,128,10010100.0,5777.18351020316
1084,4.184099999999944,24069.251,-230.0,0.0,1.0,0.03540000000003829,160.501,3600,60.0,128,10010100.0,6380.022554376607
1085,4.194099999999992,24394.0,-240.0,0.0,1.0,0.034400000000005086,157.749,3600,60.0,128,10010100.0,6491.3248261478675
1087,4.1900999999999735,24633.75,-240.0,0.0,1.0,0.03570000000001984,178.0,3600,60.0,128,10010100.0,5752.808988764045
1088,4.198500000000024,24518.25,-220.0,0.0,1.0,0.06470000000001619,334.25,3600,60.0,128,10010100.0,3063.57516828721
1089,4.182199999999966,23992.751,-220.0,0.0,1.0,0.03409999999996671,153.251,3600,60.0,128,10010100.0,6681.848731819042
1090,4.18689999999998,24278.751,-220.0,0.0,1.0,0.061699999999973436,333.999,3600,60.0,128,10010100.0,3065.8774427468347
1091,4.173499999999991,24110.001,-220.0,1.0,1.0,0.062299999999936524,334.501,3600,60.0,128,10010100.0,3061.2763489496297
1092,4.1895000000000095,24413.999,-200.0,0.0,1.0,0.0625,334.499,3600,60.0,128,10010100.0,3061.2946525998577
1093,4.175799999999981,24366.75,-210.0,0.0,1.0,0.03630000000003975,178.00099999999995,3600,60.0,128,10010100.0,5752.776669793991
1094,4.2192999999999765,24790.999,-200.0,1.0,1.0,0.06270000000000664,334.5,3600,60.0,128,10010100.0,3061.285500747384
1095,4.177999999999997,23946.751,-210.0,1.0,1.0,0.06349999999997635,334.499,3600,60.0,128,10010100.0,3061.2946525998577
1096,4.176800000000013,24315.249,-210.0,0.0,1.0,0.03590000000002646,178.00099999999995,3600,60.0,128,10010100.0,5752.776669793991
1098,4.1976999999999975,24571.25,-210.0,1.0,1.0,0.061699999999973436,334.501,3600,60.0,128,10010100.0,3061.2763489496297
1099,4.193899999999985,24528.501,-220.0,1.0,1.0,0.03540000000003829,165.25099999999995,3600,60.0,128,10010100.0,6196.634210988133
1100,4.1942000000000235,24808.25,-210.0,0.0,1.0,0.03480000000001837,175.99900000000005,3600,60.0,128,10010100.0,5818.214876220887
1101,4.02679999999998,24257.999,-220.0,1.0,1.0,0.15409999999997126,672.0,3600,60.0,128,10010100.0,1523.8095238095239
1102,4.184700000000022,24181.0,-220.0,0.0,1.0,0.03580000000005157,156.25,3600,60.0,128,10010100.0,6553.6
1103,4.03249999999997,24571.499,-220.0,0.0,1.0,0.05020000000001802,211.25,3600,60.0,128,10010100.0,4847.337278106509
